Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
New Years,1/1/2022,,,,TRUE,
National Mentoring Month,1/1/2022,,,,TRUE,Example Content: https://www.seerinteractive.com/blog/four-impactful-ways-to-mentor-a-new-hire/
Martin Luther King,1/17/2022,,,,TRUE,Example Content: https://www.seerinteractive.com/events-calendar/2021-digital-marketing-open-house-for-nonprofits/
Data Protection Day,1/28/2022,,,,TRUE,
Black History Month,2/1/2022,,,,TRUE,
Groundhog Day,2/2/2022,,,,TRUE,
Super Bowl,2/7/2022,,,,TRUE,
Chinese New Year,2/12/2022,,,,TRUE,
Valentine's Day,2/14/2022,,,,TRUE,
Mardi Gras,2/16/2022,,,,TRUE,
President's Day,2/21/2022,,,,TRUE,
Women's History Month,3/1/2022,,,,TRUE,
World Wildlife Day,3/3/2022,,,,TRUE,
International Women's Day,3/8/2022,,,,TRUE,
National Pi Day,3/14/2022,,,,TRUE,
St. Patrick's Day,3/17/2022,,,,TRUE,Example Content: https://www.seerinteractive.com/blog/retail-seasonality-drinking-holidays-can-increase-conversions/
April Fool's Day,4/1/2022,,,,TRUE,
Start of Ramadan,4/12/2022,,,,TRUE,
Easter,4/17/2022,,,,TRUE,
May Day,5/1/2022,,,,TRUE,
Star Wars Day,5/4/2022,,,,TRUE,
French Open,5/17/2022,,,,TRUE,
Memorial Day,5/30/2022,,,,TRUE,
Father's Day,6/19/2022,,,,TRUE,
Pride Month,6/19/2022,,,,TRUE,
Tour de France,6/27/2022,,,,TRUE,
Canada Day,7/1/2022,,,,TRUE,
Independence Day,7/4/2022,,,,TRUE,
Bastille Day,7/14/2022,,,,TRUE,
Emoji Day,7/17/2022,,,,TRUE,
Olympics Opening Ceremony,7/23/2022,,,,TRUE,
Olympics Closing Ceremony,8/8/2022,,,,TRUE,
Back to School,9/1/2022,,,,TRUE,
Labor Day,9/5/2022,,,,TRUE,
Oktoberfest,9/18/2022,,,,TRUE,
End of Fiscal Year,9/30/2022,,,,TRUE,Example Content: https://www.seerinteractive.com/labs/consulting-clients/budget-conversations/
LGBTQ History Month,10/1/2022,,,,TRUE,
Indigenous Peoples Day,10/10/2022,,,,TRUE,
World Mental Health Day,10/10/2022,,,,TRUE,Example Content: https://www.seerinteractive.com/blog/tackling-mental-health-at-seer/
Halloween,10/31/2022,,,,TRUE,
Diwali,11/4/2022,,,,TRUE,
Election Day,11/8/2022,,,,TRUE,
Veterans Day,11/11/2022,,,,TRUE,
Thanksgiving,11/24/2022,,,,TRUE,Example Content: https://www.seerinteractive.com/blog/attitude-of-gratitude-3-things-the-seer-team-is-thankful-for-in-2021/
Black Friday,11/25/2022,,,,TRUE,Example Content: https://www.seerinteractive.com/blog/seer-clients-saw-an-avg-24-yoy-revenue-increase-over-black-friday-weekend/
Small Business Saturday,11/27/2022,,,,TRUE,
Cyber Monday,11/28/2022,,,,TRUE,
First Day of Hanukkah,12/19/2022,,,,TRUE,
Christmas,12/25/2022,,,,TRUE,
Boxing Day,12/26/2022,,,,TRUE,
New Year's Eve,12/31/2022,,,,TRUE,
